pollno,race,year,location,type_simple,type_detail,pollster,partisan,polldate,samplesize,cand1_name,cand1_pct,cand2_name,cand2_pct,cand3_pct,margin_poll,electiondate,cand1_actual,cand2_actual,margin_actual,error,bias,rightcall,comment
5383706,2008_Pres-G_CT,2008,CT,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/14/08,500,Democrat,56,Republican,39,NA,17,11/4/08,60.59,38.22,22.37,5.37,-5.37,1,NA
5383707,2008_Pres-G_FL,2008,FL,Pres-G,Pres-G,Research 2000,NA,10/14/08,600,Democrat,49,Republican,45,NA,4,11/4/08,51.03,48.22,2.81,1.19,1.19,1,NA
5383708,2008_Pres-G_MA,2008,MA,Pres-G,Pres-G,SurveyUSA,NA,10/14/08,624,Democrat,59,Republican,35,NA,24,11/4/08,61.8,35.99,25.81,1.81,-1.81,1,NA
5383709,2008_Pres-G_ND,2008,ND,Pres-G,Pres-G,DFM Research,D,10/14/08,504,Democrat,44,Republican,41,NA,3,11/4/08,44.62,53.25,-8.63,11.63,11.63,0,NA
5383710,2008_Pres-G_NY,2008,NY,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/14/08,500,Democrat,57,Republican,37,NA,20,11/4/08,62.91,36.04,26.87,6.87,-6.87,1,NA
5383711,2008_Pres-G_OH,2008,OH,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/14/08,700,Democrat,49,Republican,49,NA,0,11/4/08,50.62,46.1,4.52,4.52,-4.52,0.5,NA
5383712,2008_Pres-G_OR,2008,OR,Pres-G,Pres-G,Rasmussen Reports/Pulse Opinion Research,NA,10/14/08,500,Democrat,54,Republican,41,NA,13,11/4/08,56.75,40.4,16.35,3.35,-3.35,1,NA
5383713,2008_Pres-G_SD,2008,SD,Pres-G,Pres-G,"Mason-Dixon Polling & Research, Inc.",NA,10/14/08,800,Democrat,41,Republican,48,NA,-7,11/4/08,44.75,53.16,-8.41,1.41,1.41,1,NA
5383714,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Financial Dynamics,NA,10/14/08,817,Democrat,49,Republican,41,NA,8,11/4/08,52.92,45.66,7.26,0.74,0.74,1,aka Hotline/Diageo
5383715,2008_Pres-G_US,2008,US,Pres-G,Pres-G,Gallup,NA,10/14/08,2313,Democrat,51,Republican,45,NA,6,11/4/08,52.92,45.66,7.26,1.26,-1.26,1,NA
